Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
ira by orchid bhubaneswar ( formerly vits bhubaneswar ),bhubaneswar,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
the westin goa,goa,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the lalit golf & spa resort goa,goa,5-star hotel,free breakfast,wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
casa seaesta beach cottages and suites,goa,sleeps 6,2 bedrooms,air conditioning,airport shuttle,pool,smoke-free,free parking,free wi-fi,no beach access
radisson resort goa baga,goa,4-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
w goa,goa,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
"the hosteller goa, arpora",goa,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,0,0,0
grand hyatt goa,goa,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
little india beach cottages,goa,house,sleeps 10,5 bedrooms,5 bathrooms,air conditioning,pool,free parking,free wi-fi,no airport shuttle
"holiday inn resort goa, an ihg hotel",goa,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,beach access
agonda paradise beach huts,goa,sleeps 9,3 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no beach access,no crib
pitruchaya sea view cottages by vyom trails,goa,0,0,0,0,0,0,0,0,0
the lalit golf & spa resort goa,goa,5-star hotel,free breakfast,wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"whoopers boutique hotel, anjuna",goa,0,0,0,0,0,0,0,0,0
"the hosteller goa, candolim",goa,free wi-fi,free parking,pool,air conditioning,breakfast,0,0,0,0
tropical bay,goa,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,bar,kitchen,kid-friendly,0
cola goa beach resort,goa,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,spa,beach access,bar
blue lagoon resort | room & restaurant,goa,villa,sleeps 8,3 bedrooms,fireplace,paid parking,free wi-fi,no air conditioning,no crib,no elevator
radisson blu resort goa cavelossim beach,goa,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"vivanta goa, miramar",goa,5-star hotel,free breakfast,free wi-fi,free parking,pool,pet-friendly,fitness center,restaurant,room service
mayfair on sea,goa,0,0,0,0,0,0,0,0,0
"the zuri white sands, goa resort & casino",goa,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
the queeny,goa,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
"holiday inn goa candolim, an ihg hotel",goa,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
"taj holiday village resort and spa, goa",goa,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
ibis mumbai vikhroli,mumbai,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,fitness center,restaurant,room service,airport shuttle
the lalit mumbai,mumbai,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
jw marriott mumbai juhu,mumbai,5-star hotel,free wi-fi,free parking,pool,air conditioning,fitness center,spa,breakfast,beach access
empire royale hotel,mumbai,3-star hotel,free breakfast,free wi-fi,free parking,pool,restaurant,kitchen,full-service laundry,0
"the taj mahal palace, mumbai",mumbai,5-star hotel,free breakfast,free wi-fi,paid parking,pool,hot tub,air conditioning,fitness center,spa
grand hyatt mumbai hotel & residences,mumbai,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,pet-friendly,fitness center
shahana guest house,mumbai,2-star hotel,breakfast,free wi-fi,air conditioning,full-service laundry,0,0,0,0
saina resort,mumbai,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,accessible,kid-friendly
stay villa dormitory (for male and female),mumbai,bungalow,sleeps 28,28 bedrooms,7 bathrooms,air conditioning,kid-friendly,kitchen,smoke-free,no fitness center
hotel milan international,mumbai,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
gagal home bkc suite | rooms & caretaker,mumbai,sleeps 4,2 bedrooms,air conditioning,elevator,fireplace,kitchen,paid parking,free wi-fi,no crib
qubestay airport capsule hotel and hostel,mumbai,free breakfast,free wi-fi,air conditioning,restaurant,full-service laundry,kid-friendly,0,0,0
"ginger mumbai, goregaon",mumbai,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry,0
the lalit mumbai,mumbai,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
royal palms villas with private pool,mumbai,free wi-fi,paid parking,pool,spa,kitchen,full-service laundry,0,0,0
the leela mumbai - resort style business hotel,mumbai,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel nest n rest - mumbai,mumbai,pool,air conditioning,restaurant,room service,kitchen,full-service laundry,0,0,0
novotel mumbai juhu beach,mumbai,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,beach access
airport inn residency,mumbai,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
courtyard by marriott mumbai international airport,mumbai,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
jw marriott mumbai sahar,mumbai,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the westin mumbai garden city,mumbai,5-star hotel,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa,breakfast
"holiday inn mumbai international airport, an ihg hotel",mumbai,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
novotel mumbai juhu beach,mumbai,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,beach access
fairfield by marriott lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
novotel lucknow gomti nagar,lucknow,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,bar
townhouse 1166 bsa townhouse,lucknow,apartment,sleeps 3,1 bedroom,free parking,free wi-fi,no air conditioning,no airport shuttle,no beach access,no elevator
hyatt regency lucknow,lucknow,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
fairfield by marriott lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
radisson lucknow city center,lucknow,3-star hotel,breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,spa,bar
taj mahal lucknow,lucknow,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the regnant,lucknow,breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,bar,restaurant,room service
hilton garden inn lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
ginger lucknow,lucknow,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
